"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"322","HBKN","M0E","onbekend",2013,2013-06-13,2013-06-23,11,"Hockey Club Rotterdam","binnen","Nationaal belang/Parels",NA,2013
"323","W5D0","3LI","onbekend",2009,2013-03-27,2013-03-27,1,"Hoogstraat","route","Regionaal belang/kleinschalig",NA,2013
"324","6HBO","S2B","betaald",2008,2013-01-18,2013-01-26,9,"Rotterdamse Schouwburg / LantarenVenster / Caf? Floor / Codarts / WMDC","binnen","Nationaal belang/Parels",2459,2013
"325","U2E8","YK6","gratis",2011,2013-06-09,2013-06-09,1,"Ahoy / Zuiderpark / Route","beide","Nationaal belang/Parels",5000,2013
"326","HWES","G0G","onbekend",1997,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"327","DAJS","GF7","betaald",2013,2013-10-19,2013-10-20,2,"Ahoy","binnen","Nationaal belang/Parels",3785,2013
"328","EIAY","0YV","betaald",2013,2013-08-17,2013-08-18,2,"Beachclub Royal","beide","Regionaal belang/kleinschalig",25000,2013
"329","UKUS","UEZ","betaald",2013,2013-09-28,2013-09-28,1,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",25000,2013
"330","WOB6","K8X","gratis",2005,2013-09-06,2013-09-08,3,"Leuvehaven / Oude Haven / Wijnhaven","beide","Nationaal belang/Parels",20000,2013
"331","EJ2O","93P","gratis",1993,2013-07-07,2013-07-07,1,"Zuiderpark","buiten","Nationaal belang/Parels",42000,2013
"332","DX22","FY6","gratis",2013,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",250,2013
"333","9NPX","FUC","gedeeltelijk gratis",2002,2013-04-04,2013-04-07,4,"Nederlands Architectuurinstituut / Schouwburgplein / Rotterdamse Schouwburg / Unie (De) / Centrum Beeldende Kunst / Corso / Rotown / Museumpark / WORM / .en anderen","beide","Regionaal belang/kleinschalig",4600,2013
"334","AWOJ","VD3","gedeeltelijk gratis",2013,2013-06-01,2013-06-09,4,"Zwaanshals / .en anderen","beide","Regionaal belang/kleinschalig",2800,2013
"335","OLSH","F4H","betaald",2011,2013-09-26,2013-09-29,4,"Ahoy","binnen","Regionaal belang/kleinschalig",25000,2013
"336","GMB0","8DA","gratis",2006,2013-06-29,2013-06-29,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",10000,2013
"337","JZIO","M0E","onbekend",2013,2013-12-06,2013-12-08,3,"Topsportcentrum Rotterdam","binnen","Nationaal belang/Parels",NA,2013
"338","208A","M0E","onbekend",2013,2013-10-19,2013-10-20,2,"Topsportcentrum Rotterdam","binnen","Nationaal belang/Parels",NA,2013
"339","BV13","M0E","onbekend",2013,2013-10-26,2013-10-26,1,"Topsportcentrum Rotterdam","binnen","Nationaal belang/Parels",NA,2013
"340","6IAS","M0E","onbekend",2013,2013-06-15,2013-06-16,2,"Ahoy","binnen","Nationaal belang/Parels",NA,2013
"341","6KZ7","NS7","onbekend",2013,2013-07-12,2013-07-14,3,"Ahoy","beide","Internationaal belang/Iconen",65000,2013
"342","78WJ","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"343","KC2R","BJQ","gedeeltelijk gratis",2006,2013-06-28,2013-07-14,17,"Schouwburgplein / Unie (De) / LantarenVenster / Bird / Grounds / Dizzy / LP2 / .en anderen","beide","Nationaal belang/Parels",90000,2013
