"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"261","FS40","QA9","gedeeltelijk gratis",2014,2012-04-04,2012-05-09,36,"Lijnbaan","beide","Regionaal belang/kleinschalig",50000,2012
"262","PP5T","0YV","betaald",2011,2013-05-11,2013-05-11,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",2000,2013
"263","742L","G0G","gratis",2012,2013-09-14,2013-09-15,2,"Schouwburgplein / Museumpark / .en anderen","route","Nationaal belang/Parels",NA,2013
"264","88OJ","SCT","gedeeltelijk gratis",2013,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",120,2013
"265","YPZB","E5H","gedeeltelijk gratis",2013,2013-09-14,2013-09-15,2,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Luxor Theater (oud) / Pathe Schouwburgplein","beide","Regionaal belang/kleinschalig",2500,2013
"266","FRTU","LZM","betaald",2015,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",6000,2013
"267","I773","G17","gratis",2013,2013-09-14,2013-09-15,2,"Wilhelminapier","beide","Regionaal belang/kleinschalig",1500,2013
"268","I8P4","4U5","gedeeltelijk gratis",2013,2013-09-27,2013-10-09,4,"Lijnbaan","beide","Regionaal belang/kleinschalig",500,2013
"269","LULA","NKE","gratis",1995,2013-04-13,2013-04-14,2,"Coolsingel / Route","buiten","Internationaal belang/Iconen",925000,2013
"270","AP76","6MT","betaald",2011,2013-02-11,2013-02-17,7,"Ahoy","binnen","Internationaal belang/Iconen",NA,2013
"271","5EJK","Q4V","gedeeltelijk gratis",2012,2013-11-22,2013-11-23,2,"De Gouvernestraat","binnen","Regionaal belang/kleinschalig",3000,2013
"272","SSFG","C35","betaald",2013,2013-02-05,2013-02-10,6,"Fenixloods","binnen","Regionaal belang/kleinschalig",7500,2013
"273","3NXG","8AJ","gedeeltelijk gratis",2013,2013-02-07,2013-02-10,4,"Las Palmas / Wilhelminapier / HAL Cruiseterminal","binnen","Internationaal belang/Iconen",55000,2013
"274","YDBM","I28","onbekend",2006,NA,NA,NA,NA,"onbekend","Onbekend",6261,2013
"275","CTQP","YYI","gratis",2011,2013-07-13,2013-07-13,1,"Charloise Kerksingel","buiten","Regionaal belang/kleinschalig",1000,2013
"276","O5IN","0YV","betaald",2013,2013-05-10,2013-05-10,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",7500,2013
"277","Z8JS","8OQ","betaald",2010,2013-11-16,2013-11-16,1,"Ahoy","binnen","Nationaal belang/Parels",1500,2013
"278","LREF","G0G","onbekend",2013,2013-05-18,2013-05-18,1,"Sparta Stadion / Het Kasteel","binnen","Regionaal belang/kleinschalig",NA,2013
"279","E5XE","1AC","betaald",2011,2013-10-26,2013-10-26,1,"Bird","binnen","Nationaal belang/Parels",707,2013
"280","6BU1","B5F","gratis",2013,NA,NA,NA,NA,"binnen","Regionaal belang/kleinschalig",3800,2013
"281","4SBI","TY8","betaald",2011,2013-09-22,2013-09-22,1,"MiniMall","buiten","Nationaal belang/Parels",400,2013
"282","18ZQ","ZU7","betaald",2012,2013-08-10,2013-08-10,1,"Zuiderpark","buiten","Nationaal belang/Parels",6200,2013
"283","PUUZ","SDN","betaald",2012,2013-11-14,2013-11-16,3,"Unie (De) / LantarenVenster / Corso / Rotown / Maassilo / WORM / De Gouvernestraat / .en anderen","binnen","Nationaal belang/Parels",4500,2013
"284","7UUS","Q4J","betaald",1993,2013-09-18,2013-11-30,9,"Luxor (nieuw) / Theater Zuidplein / Luxor Theater (oud) / Theater Walhalla","binnen","Nationaal belang/Parels",9343,2013
"285","N4MK","YMS","betaald",2007,2013-09-25,2013-09-29,5,"LantarenVenster","binnen","Nationaal belang/Parels",6000,2013
"286","R88S","V7G","betaald",2013,2013-09-21,2013-09-21,1,"Lloyd Multiplein","beide","Regionaal belang/kleinschalig",20000,2013
"287","G7F7","F6N","onbekend",2012,2012-12-07,2013-02-14,70,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",4300,2013
"288","3MJF","DK7","gratis",2000,2013-02-13,2013-02-13,1,"Wijkpark Oude Westen","buiten","Regionaal belang/kleinschalig",13000,2013
"289","6ILM","7EJ","gedeeltelijk gratis",2009,2013-04-29,2013-05-05,7,"Schouwburgplein / Rotterdamse Schouwburg / Luxor (nieuw) / Luxor Theater (oud)","beide","Regionaal belang/kleinschalig",20963,2013
"290","9RYL","X17","gedeeltelijk gratis",2013,2013-08-18,2013-08-18,1,"Blaak / Willemsbrug","route","Nationaal belang/Parels",1e+05,2013
"291","DC6M","AL5","gratis",2013,2013-02-09,2013-05-12,93,"Kunsthal","binnen","Nationaal belang/Parels",170094,2013
"292","DCMM","87O","gedeeltelijk gratis",2012,NA,NA,NA,NA,"beide","Nationaal belang/Parels",NA,2013
"293","X2PS","41X","gratis",2013,2013-09-15,2013-09-15,1,"Delfshaven","buiten","Regionaal belang/kleinschalig",1000,2013
"294","KE5E","M9A","gedeeltelijk gratis",1994,2013-06-21,2013-06-22,2,"Schouwburgplein / Binnenwegplein","beide","Nationaal belang/Parels",8500,2013
"295","XA2G","T8M","gratis",1993,2013-08-25,2013-08-25,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",30000,2013
"296","F3MK","TP7","onbekend",2013,NA,NA,NA,NA,"beide","Nationaal belang/Parels",NA,2013
"297","35LQ","5GG","gedeeltelijk gratis",NA,2013-09-18,2013-09-28,11,"Schouwburgplein / Rotterdamse Schouwburg","beide","Nationaal belang/Parels",7391,2013
"298","8XQV","C35","betaald",2009,2013-09-07,2013-09-07,1,"Katendrecht","beide","Regionaal belang/kleinschalig",5500,2013
"299","53C3","I32","gratis",NA,2013-12-31,2014-01-01,2,"Boompjes / Boompjeskade","buiten","Nationaal belang/Parels",20000,2013
"300","EJGB","VBU","gratis",2000,NA,NA,NA,NA,"beide","Nationaal belang/Parels",25000,2013
"301","VBE7","EAW","gedeeltelijk gratis",2012,2013-09-27,2013-09-27,1,"Museumpark","beide","Nationaal belang/Parels",851,2013
"302","Q5RL","VQU","gratis",2013,2013-07-23,2013-08-27,6,"Zuiderpark","buiten","Regionaal belang/kleinschalig",100,2013
"303","SM1D","761","gedeeltelijk gratis",2013,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",4500,2013
"304","QNW3","SH1","gratis",2009,2013-08-09,2013-08-11,3,"Vroesenpark","buiten","Regionaal belang/kleinschalig",NA,2013
"305","C5D3","M0E","onbekend",2013,2013-06-15,2013-06-16,2,"Willem-Alexander Roeibaan","buiten","Nationaal belang/Parels",5000,2013
"306","OYVZ","WG8","betaald",2000,2013-10-10,2013-10-13,4,"Wilhelminapier / .en anderen","beide","Nationaal belang/Parels",4500,2013
"307","N34M","ZLY","betaald",2013,2013-07-05,2013-08-25,24,"Zuiderpark","buiten","Regionaal belang/kleinschalig",60000,2013
"308","EIUN","M0E","onbekend",2013,2013-08-24,2013-08-25,2,"Ahoy","binnen","Nationaal belang/Parels",NA,2013
"309","YEBB","ELX","gedeeltelijk gratis",2013,NA,NA,NA,NA,"beide","Nationaal belang/Parels",40000,2013
"310","PZ4H","M0E","onbekend",2013,2013-11-15,2013-11-17,3,"Topsportcentrum Rotterdam","binnen","Regionaal belang/kleinschalig",NA,2013
"311","PZHH","NUU","gratis",2013,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",350,2013
"312","UKLJ","CVB","betaald",2013,2013-09-07,2013-09-07,1,"Havengebieden / Veemstraat","route","Regionaal belang/kleinschalig",550,2013
"313","QSI5","VUN","betaald",2002,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",NA,2013
"314","VV5L","SBY","gedeeltelijk gratis",2011,2013-04-19,2013-04-21,3,"LantarenVenster / Las Palmas / Wilhelminapier / Hotel New York","beide","Nationaal belang/Parels",8396,2013
"315","PFV2","VIC","gratis",NA,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",12000,2013
"316","SRZS","90G","gratis",2013,2013-01-23,2013-02-03,12,"Schouwburgplein","buiten","Internationaal belang/Iconen",NA,2013
"317","MB33","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"318","K5BS","Y64","gratis",2001,2013-07-24,2013-08-28,6,"Binnenrotte / Route","buiten","Nationaal belang/Parels",NA,2013
"319","C8FD","6RH","gedeeltelijk gratis",1998,2013-09-05,2013-09-14,4,"De Doelen","beide","Nationaal belang/Parels",9000,2013
"320","CE27","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"321","VTGG","89W","betaald",2008,2013-07-05,2013-07-08,4,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",15000,2013
