"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"12276","3052SV","3052 SV Rotterdam, Netherlands",51.9527,4.469,51.9541,4.4714,51.9514,4.4679
"12277","3052SW","3052 SW Rotterdam, Netherlands",51.951,4.47,51.9514,4.4712,51.9501,4.4694
"12278","3052SX","3052 SX Rotterdam, Netherlands",51.9503,4.4703,51.9514,4.4712,51.9487,4.4691
"12279","3052SZ","3052 SZ Rotterdam, Netherlands",51.952,4.4707,51.9528,4.473,51.9513,4.4696
"12280","3052TB","3052 TB Rotterdam, Netherlands",51.9542,4.4734,51.9553,4.475,51.9526,4.4714
"12281","3052TD","3052 TD Rotterdam, Netherlands",51.9535,4.4725,51.954,4.4732,51.9526,4.4714
"12282","3052TG","3052 TG Rotterdam, Netherlands",51.9531,4.4716,51.9541,4.4732,51.9526,4.4698
"12283","3052TH","3052 TH Rotterdam, Netherlands",51.9529,4.4705,51.9541,4.4716,51.9527,4.4698
"12284","3052TJ","3052 TJ Rotterdam, Netherlands",51.9527,4.4697,51.9541,4.4716,51.9514,4.4679
"12285","3052TK","3052 TK Rotterdam, Netherlands",51.9541,4.4735,51.9553,4.475,51.9526,4.4714
"12286","3052TL","3052 TL Rotterdam, Netherlands",51.9532,4.4724,51.9594,4.4748,51.9514,4.4679
"12287","3052TM","3052 TM Rotterdam, Netherlands",51.9528,4.4728,51.954,4.4748,51.9513,4.4714
"12288","3052VB","3052 VB Rotterdam, Netherlands",51.954,4.4708,51.9554,4.4718,51.9527,4.4698
"12289","3052VJ","3052 VJ Rotterdam, Netherlands",51.9546,4.4714,51.9554,4.4734,51.9526,4.47
"12290","3052VM","3052 VM Rotterdam, Netherlands",51.9541,4.4723,51.9554,4.4734,51.9526,4.47
"12291","3052VR","3052 VR Rotterdam, Netherlands",51.9546,4.4708,51.9554,4.4718,51.954,4.47
"12292","3052XA","3052 XA Rotterdam, Netherlands",51.9567,4.4774,51.9578,4.4787,51.9551,4.475
"12293","3052XB","3052 XB Rotterdam, Netherlands",51.9563,4.4769,51.9578,4.4787,51.9551,4.475
"12294","3052XC","3052 XC Rotterdam, Netherlands",51.9567,4.4736,51.958,4.4755,51.9553,4.4718
"12295","3052XD","3052 XD Rotterdam, Netherlands",51.9576,4.4748,51.9592,4.4773,51.9565,4.4736
"12296","3052XE","3052 XE Rotterdam, Netherlands",51.9574,4.4746,51.9592,4.4757,51.9565,4.4736
"12297","3052XG","3052 XG Rotterdam, Netherlands",51.9573,4.4744,51.9579,4.4755,51.9565,4.4736
"12298","3052XH","3052 XH Rotterdam, Netherlands",51.957,4.4741,51.9579,4.4755,51.9565,4.4736
"12299","3052XJ","3052 XJ Rotterdam, Netherlands",51.9565,4.4734,51.958,4.4755,51.9552,4.4718
"12300","3052XK","3052 XK Rotterdam, Netherlands",51.9553,4.4767,51.9565,4.4785,51.9538,4.4748
"12301","3052XL","3052 XL Rotterdam, Netherlands",51.955,4.4767,51.9565,4.4785,51.9538,4.4748
"12302","3052XM","3052 XM Rotterdam, Netherlands",51.9564,4.4762,51.9578,4.4787,51.9551,4.475
"12303","3052XN","3052 XN Rotterdam, Netherlands",51.9569,4.475,51.958,4.4771,51.9565,4.472
"12304","3052XP","3052 XP Rotterdam, Netherlands",51.9562,4.4764,51.9578,4.4785,51.9551,4.475
"12305","3052XR","3052 XR Rotterdam, Netherlands",51.9569,4.4749,51.9579,4.4771,51.9565,4.4736
"12306","3052XS","3052 XS Rotterdam, Netherlands",51.9557,4.4774,51.9565,4.4785,51.9551,4.4767
"12307","3053AD","3053 AD Rotterdam, Netherlands",51.9546,4.4639,51.9557,4.4654,51.9529,4.4619
"12308","3053AG","3053 AG Rotterdam, Netherlands",51.9561,4.4631,51.957,4.464,51.9543,4.4619
"12309","3053AK","3053 AK Rotterdam, Netherlands",51.954,4.4643,51.9557,4.4654,51.9529,4.4619
"12310","3053AL","3053 AL Rotterdam, Netherlands",51.9537,4.4645,51.9556,4.4654,51.9529,4.4633
"12311","3053AM","3053 AM Rotterdam, Netherlands",51.9542,4.4631,51.9544,4.4651,51.9529,4.4617
"12312","3053AN","3053 AN Rotterdam, Netherlands",51.9548,4.4629,51.9557,4.4637,51.9543,4.4619
"12313","3053AP","3053 AP Rotterdam, Netherlands",51.9552,4.4631,51.9557,4.4637,51.9543,4.4619
"12314","3053AR","3053 AR Rotterdam, Netherlands",51.9536,4.4633,51.9544,4.4635,51.953,4.4617
"12315","3053BA","3053 BA Rotterdam, Netherlands",51.9551,4.4697,51.9555,4.4702,51.9541,4.4684
"12316","3053BB","3053 BB Rotterdam, Netherlands",51.9552,4.4695,51.9555,4.4702,51.9541,4.4684
"12317","3053BC","3053 BC Rotterdam, Netherlands",51.9552,4.4693,51.9555,4.4702,51.9541,4.4684
"12318","3053BD","3053 BD Rotterdam, Netherlands",51.9551,4.469,51.9555,4.4702,51.9541,4.4684
"12319","3053BE","3053 BE Rotterdam, Netherlands",51.9551,4.4688,51.9555,4.4702,51.9541,4.4668
"12320","3053BG","3053 BG Rotterdam, Netherlands",51.9549,4.4687,51.9555,4.4702,51.9541,4.4668
"12321","3053BH","3053 BH Rotterdam, Netherlands",51.9548,4.4688,51.9555,4.4702,51.9541,4.4668
"12322","3053BK","3053 BK Rotterdam, Netherlands",51.9613,4.4778,51.9631,4.4796,51.9591,4.4757
"12323","3053BL","3053 BL Rotterdam, Netherlands",51.9594,4.4754,51.9605,4.4775,51.9578,4.4739
"12324","3053BM","3053 BM Rotterdam, Netherlands",51.959,4.4749,51.9605,4.4759,51.9578,4.4739
"12325","3053BN","3053 BN Rotterdam, Netherlands",51.958,4.4735,51.9593,4.4757,51.9566,4.472
"12326","3053BP","3053 BP Rotterdam, Netherlands",51.9569,4.4721,51.958,4.4739,51.954,4.4684
"12327","3053BR","3053 BR Rotterdam, Netherlands",51.9539,4.4657,51.9556,4.47,51.9528,4.4617
"12328","3053CA","3053 CA Rotterdam, Netherlands",51.9569,4.4666,51.9582,4.4674,51.9555,4.4654
"12329","3053CB","3053 CB Rotterdam, Netherlands",51.9577,4.4662,51.9596,4.4676,51.9568,4.464
"12330","3053CC","3053 CC Rotterdam, Netherlands",51.9587,4.4676,51.9595,4.4692,51.9568,4.4658
"12331","3053CJ","3053 CJ Rotterdam, Netherlands",51.9564,4.4702,51.9581,4.4722,51.9553,4.4672
"12332","3053CK","3053 CK Rotterdam, Netherlands",51.9567,4.4695,51.9581,4.4704,51.9554,4.467
"12333","3053CL","3053 CL Rotterdam, Netherlands",51.9568,4.4693,51.9581,4.4706,51.9555,4.467
